Designator,Mid X,Mid Y,Layer,Rotation
22uF1,156.807.500,-116.141.500,top,180.000.000
22uF2,167.983.500,-116.141.500,top,180.000.000
22uF3,179.260.500,-116.141.500,top,180.000.000
22uF4,190.335.500,-116.141.500,top,180.000.000
C1,156.391.500,-129.857.500,top,180.000.000
C2,168.520.000,-129.984.500,top,180.000.000
C3,179.260.500,-129.857.500,top,180.000.000
C4,190.436.500,-129.857.500,top,180.000.000
C5,118.300.500,-136.452.500,top,90.000.000
D9,101.968.300,-137.680.700,top,180.000.000
F3,179.387.500,-107.369.000,top,270.000.000
F4,184.467.500,-107.305.500,top,270.000.000
F5,189.547.500,-107.305.500,top,270.000.000
F6,194.627.500,-107.305.500,top,270.000.000
R5,166.560.500,-140.489.000,top,270.000.000
R6,169.100.500,-140.489.000,top,270.000.000
R7,171.640.500,-140.489.000,top,270.000.000
R8,174.180.500,-140.489.000,top,270.000.000
R9,101.993.700,-135.623.300,top,0.000000
R10,194.627.500,-100.061.000,top,270.000.000
R11,179.387.500,-91.951.000,top,270.000.000
R12,189.547.500,-100.061.000,top,270.000.000
R13,184.467.500,-91.951.000,top,270.000.000
R14,184.467.500,-100.061.000,top,270.000.000
R15,189.547.500,-91.951.000,top,270.000.000
R16,179.387.500,-100.061.000,top,270.000.000
R17,194.627.500,-91.951.000,top,270.000.000
U1,145.224.500,-125.285.500,top,90.000.000
