Comment,Designator,Footprint,LCSC Part #
CP2102N-A01-GQFN28 USB to UART master bridge  QFN-28,U8,Package_DFN_QFN,C105167
22uF Polarized capacitor  small symbol,C11 C12 C13 C14,Capacitor_Tantalum_SMD,C110051
BAT60A-7 10V 3A High Current Recitifier Schottky Diode  SOD-323,D7,Diode_SMD,C124187
USB_B_Micro USB Micro Type B connector,J3,Connector_USB,C132563
100nF Polarized capacitor,C4 C16 C18 C1 C2 C3 C7 C8 C9 C10,Capacitor_SMD,C14663
100 Resistor,R11,Resistor_SMD,C17408
0 Resistor,R6 R8,Resistor_SMD,C17477
SS8050 800mA Ic  50V Vce,Q1 Q2,Package_TO_SOT_SMD,C177739
10k Resistor,R2 R3,Resistor_SMD,C17902
4.7uF Polarized capacitor,C5,Capacitor_SMD,C19666
LED Light emitting diode,D2,LED_SMD,C2297
47.5k Resistor,R9,Resistor_SMD,C23061
1k Resistor,R4 R24,Resistor_SMD,C25585
10k Resistor,R1,Resistor_SMD,C25804
22.1k Resistor,R7,Resistor_SMD,C25961
EN Push button switch  generic  two pins,SW1,Button_Switch_SMD,C318884
IO0 Push button switch  generic  two pins,SW2,Button_Switch_SMD,C318884
D_TVS Bidirectional transient-voltage-suppression diode,D4 D5 D6,Diode_SMD,C383211
200k1w Resistor,R16 R17 R18 R19 R20 R21 R22 R23,Resistor_SMD,C38961
MCP9700T-ETT Low power  analog thermistor temperature sensor  4,U5,Package_TO_SOT_SMD,C42288
1k Resistor,R5,Resistor_SMD,C4410
22uF Polarized capacitor,C15,Capacitor_SMD,C59461
ESP32-WROOM-32D RF Module,U2,RF_Module,C701342
ULN2003A High Voltage,U1,Package_SO,C7512
