Designator,Mid X,Mid Y,Layer,Rotation
C1,170.1165mm,-113.8645mm,top,270
C2,131.7625,-139.5185,top,90
C3,131.7625,-145.6145,top,270
C4,190.156,-126.9365,top,180
C5,159.639,-137.9844,top,90
C7,179.7595,-115.8875,top,180
C8,184.8575,-115.8875,top,0
C9,190.9535,-115.8875,top,180
C10,196.0335,-115.8875,top,0
C11,179.6675,-121.9835,top,180
C12,185.2035,-121.9835,top,0
C13,190.7915,-121.9835,top,180
C14,196.3795,-121.9835,top,0
C15,193.5215,-125.4125,top,0
C16,193.511,-126.9365,top,0
C18,158.0515,-137.9739,top,90
D2,156.6545,-111.3065,top,90
D4,154.813,-147.6375,top,270
D5,162.0535,-145.6055,top,0
D6,157.3515,-145.6055,top,180
D7,154.559,-142.3965,top,270
G***,128.7145,-80.5815,top,0
G***,156.7815,-114.935,top,270
J3,160.005,-148.8765,top,0
Q1,165.7375,-131.3655,top,270
Q2,161.8615,-131.3975,top,270
R1,190.1685,-125.4125,top,0
R2,163.8821,-128.7005,top,180
R3,163.9049,-127.0889,top,0
R4,157.2755,-143.8275,top,180
R5,168.0337,-141.0700,top,270
R6,180.5780,-150.3045,top,180
R7,157.2755,-140.7795,top,0
R8,180.5780,-148.2725,top,180
R9,157.2755,-142.3035,top,180
R11,154.1145,-111.3155,top,90
R16,179.3875,-100.0610,top,270
R17,184.4675,-100.0610,top,270
R18,189.6745,-100.0633,top,270
R19,194.7545,-100.0790,top,270
R20,179.3875,-91.9510,top,270
R21,184.4675,-91.9510,top,270
R22,189.6745,-91.9510,top,270
R23,194.7545,-91.9510,top,270
R24,165.5953,-136.5517,top,270
SW1,171.0055,-128.8415,top,90
SW2,157.0355,-128.9685,top,270
U1,163.7665,-113.6015,top,90
U2,185.6105,-137.4865,top,270
U5,171.4533,-136.8323,top,180
U8,163.5760,-141.4145,top,270
