Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",170.116500,-113.864500,270.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.762500,-139.518500,90.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.762500,-145.614500,270.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",190.156000,-126.936500,180.000000,top
"C5","4.7uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",159.639000,-137.984400,90.000000,top
"C7","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",179.759500,-115.887500,180.000000,top
"C8","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",184.857500,-115.887500,0.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",190.953500,-115.887500,180.000000,top
"C10","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",196.033500,-115.887500,0.000000,top
"C11","22uF","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",179.667500,-121.983500,180.000000,top
"C12","22uF","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",185.203500,-121.983500,0.000000,top
"C13","22uF","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",190.791500,-121.983500,180.000000,top
"C14","22uF","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",196.379500,-121.983500,0.000000,top
"C15","22uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",193.521500,-125.412500,0.000000,top
"C16","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",193.511000,-126.936500,0.000000,top
"C18","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",158.051500,-137.973900,90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",156.654500,-111.306500,90.000000,top
"D4","D_TVS","D_SOD-523",154.813000,-147.637500,270.000000,top
"D5","D_TVS","D_SOD-523",162.053500,-145.605500,0.000000,top
"D6","D_TVS","D_SOD-523",157.351500,-145.605500,180.000000,top
"D7","BAT60A-7","D_SOD-323",154.559000,-142.396500,270.000000,top
"G***","LOGO","che",128.714500,-80.581500,0.000000,top
"G***","LOGO","led_6000dpi",156.781500,-114.935000,270.000000,top
"J3","USB_B_Micro","USB_Micro-B_Molex-105017-0001",160.005000,-148.876500,0.000000,top
"Q1","SS8050","SOT-23",165.737500,-131.365500,270.000000,top
"Q2","SS8050","SOT-23",161.861500,-131.397500,270.000000,top
"R1","10kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",190.168500,-125.412500,0.000000,top
"R2","10kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",163.882100,-128.700500,180.000000,top
"R3","10kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",163.904900,-127.088900,0.000000,top
"R4","1kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.275500,-143.827500,180.000000,top
"R5","1kΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",168.033700,-141.070000,270.000000,top
"R6","0Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.578000,-150.304500,180.000000,top
"R7","22.1kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.275500,-140.779500,0.000000,top
"R8","0Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",180.578000,-148.272500,180.000000,top
"R9","47.5kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.275500,-142.303500,180.000000,top
"R11","100Ω","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",154.114500,-111.315500,90.000000,top
"R16","200kΩ1w","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",179.387500,-100.061000,270.000000,top
"R17","200kΩ1w","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",184.467500,-100.061000,270.000000,top
"R18","200kΩ1w","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",189.674500,-100.063300,270.000000,top
"R19","200kΩ1w","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",194.754500,-100.079000,270.000000,top
"R20","200kΩ1w","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",179.387500,-91.951000,270.000000,top
"R21","200kΩ1w","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",184.467500,-91.951000,270.000000,top
"R22","200kΩ1w","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",189.674500,-91.951000,270.000000,top
"R23","200kΩ1w","R_2512_6332Metric_Pad1.52x3.35mm_HandSolder",194.754500,-91.951000,270.000000,top
"R24","1kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",165.595300,-136.551700,270.000000,top
"SW1","EN","SW_SPST_SKQG_WithStem",171.005500,-128.841500,90.000000,top
"SW2","IO0","SW_SPST_SKQG_WithStem",157.035500,-128.968500,270.000000,top
"U1","ULN2003A","SOIC-16_3.9x9.9mm_P1.27mm",163.766500,-113.601500,90.000000,top
"U2","ESP32-WROOM-32D","ESP32-WROOM-32",185.610500,-137.486500,270.000000,top
"U5","MCP9700T-ETT","SOT-23",171.453300,-136.832300,180.000000,top
"U8","CP2102N-A01-GQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",163.576000,-141.414500,270.000000,top
