Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","0805",159.194500,-136.715500,180.000000,top
"C2","100nF","0805",170.361500,-136.715500,180.000000,top
"C3","100nF","0805",181.283500,-136.715500,180.000000,top
"C4","100nF","0805",192.713500,-136.715500,180.000000,top
"C5","100nF","0805",131.762500,-145.614500,270.000000,top
"C6","100nF","0805",170.116500,-113.864500,270.000000,top
"C7","100nF","0805",131.762500,-139.518500,90.000000,top
"C12","100nF","0805",188.658500,-147.882500,90.000000,top
"C8","22uF","3528",159.093500,-128.587500,180.000000,top
"C9","22uF","3528",170.269500,-128.587500,180.000000,top
"C10","22uF","3528",181.546500,-128.587500,180.000000,top
"C11","22uF","3528",192.621500,-128.587500,180.000000,top
"C13","22uF","3528",185.864500,-147.028500,270.000000,top
"D1","LED","0805",183.070500,-147.882500,270.000000,top
"D9","LED","0805",156.654500,-111.306500,90.000000,top
"R1","100Ω","0805",190.690500,-147.882500,90.000000,top
"R9","100Ω","0805",154.114500,-111.315500,90.000000,top
"R5","10kΩ","1206",164.274500,-145.134000,90.000000,top
"R6","10kΩ","1206",161.734500,-145.134000,90.000000,top
"R7","10kΩ","1206",159.194500,-145.134000,90.000000,top
"R8","10kΩ","1206",156.654500,-145.134000,90.000000,top
"R10","39kΩ3w","2512",194.627500,-100.061000,270.000000,top
"R11","39kΩ3w","2512",179.387500,-91.951000,270.000000,top
"R12","39kΩ3w","2512",189.547500,-100.061000,270.000000,top
"R13","39kΩ3w","2512",184.467500,-91.951000,270.000000,top
"R14","39kΩ3w","2512",184.467500,-100.061000,270.000000,top
"R15","39kΩ3w","2512",189.547500,-91.951000,270.000000,top
"R16","39kΩ3w","2512",179.387500,-100.061000,270.000000,top
"R17","39kΩ3w","2512",194.627500,-91.951000,270.000000,top
"U1","ULN2003A","SOIC-16_3.9x9.9mm_P1.27mm",163.766500,-113.601500,90.000000,top
