Comment,Designator,Footprint,LCSC Part #,
BAT60A-7 10V 3A High Current Recitifier Schottky Diode  SOD-323,D6,Diode_SMD,C124187,1
100nF Polarized capacitor  small symbol,"C1,C2,C4,C6,C7,C9,C10,C11,C12,C13,C18",Capacitor_SMD,C14663,11
USB_C_Receptacle_USB2.0 USB 2.0-only Type-C Receptacle connector,J8,Connector_USB,C167321,1
100 Resistor,"R4,R5",Resistor_SMD,C17408,2
0 Resistor,"R13,R14",Resistor_SMD,C17477,2
50 Resistor,R11,Resistor_SMD,C17738,1
SS8050-SMD NPN transistor  base/emitter/collector,Q1,Package_TO_SOT_SMD,C177739,1
SS8050 NPN transistor  base/emitter/collector,Q2,Package_TO_SOT_SMD,C177739,1
4.7uF Polarized capacitor  small symbol,C8,Capacitor_SMD,C19666,1
LED Light emitting diode,"D1,D2",LED_SMD,C2297,2
47.5k Resistor,"R8,R17,R18,R19,R20",Resistor_SMD,C23061,5
5.1k Resistor,"R9,R10",Resistor_SMD,C23186,2
1k Resistor,"R12,R16",Resistor_SMD,C25585,2
150k1w Resistor,"R6,R23,R24,R25,R26,R27,R28,R29,R30",Resistor_SMD,C25719,9
10k Resistor,"R1,R2,R3,R21,R22",Resistor_SMD,C25804,5
22.1k Resistor,R7,Resistor_SMD,C25961,1
SHT4x Temperature and humidity module,U7,sht40,C2909890,1
4.7uF Polarized capacitor  small symbol,"C14,C15,C16,C17",Capacitor_SMD,C29823,4
EN Push button switch  generic  two pins,SW1,Button_Switch_SMD,C318884,1
IO0 Push button switch  generic  two pins,SW2,Button_Switch_SMD,C318884,1
D_TVS Bidirectional transient-voltage-suppression diode,"D3,D4,D5",Diode_SMD,C383211,3
1k Resistor,R15,Resistor_SMD,C4410,1
22uF Polarized capacitor  small symbol,C3,Capacitor_SMD,C59461,1
ESP32-WROOM-32E RF Module  ESP32-D0WD SoC  Wi-Fi 802.11b/g/n  Bl,U2,RF_Module,C701343,1
ULN2003A High Voltage  High Current Darlington Transistor Arrays,U4,Package_SO,C7512,1
CP2102N-A01-GQFN28 USB to UART master bridge  QFN-28,U3,Package_DFN_QFN,C964632,1
,,,,62
