Designator,Mid X,Mid Y,Layer,Rotation
C1,190.156000mm,-126.936500mm,Top,180
C2,137.600000mm,-138.337500mm,Top,90
C3,193.521500mm,-125.412500mm,Top,0
C4,193.511000mm,-126.936500mm,Top,0
C5,135.400000mm,-143.400000mm,Top,270
C6,130.637500mm,-142.000000mm,Top,180
C7,166.574900mm,-140.947300mm,Top,270
C8,164.974900mm,-140.940800mm,Top,270
C9,174.000000mm,-114.037500mm,Top,270
C10,180.011974mm,-122.564320mm,Top,180
C11,184.861174mm,-122.564320mm,Top,0
C12,188.442574mm,-122.564320mm,Top,180
C13,193.522574mm,-122.564320mm,Top,0
C14,179.184974mm,-120.583120mm,Top,180
C15,184.239574mm,-120.583120mm,Top,0
C16,189.256474mm,-120.583120mm,Top,180
C17,194.324174mm,-120.583120mm,Top,0
C18,170.296500mm,-135.048600mm,Top,270
D1,193.484500mm,-149.242500mm,Top,270
D2,158.100000mm,-115.175000mm,Top,270
D3,157.283000mm,-141.900900mm,Top,180
D4,162.593000mm,-141.900900mm,Top,0
D5,159.883000mm,-141.900900mm,Top,180
D6,154.876500mm,-144.564100mm,Top,270
F1,143.546500mm,-85.283500mm,Top,270
F2,143.546500mm,-95.413500mm,Top,270
F3,169.200000mm,-86.600000mm,Top,90
F4,164.100000mm,-86.600000mm,Top,90
F5,159.000000mm,-86.600000mm,Top,90
F6,154.100000mm,-86.640000mm,Top,90
F7,178.092100mm,-86.550500mm,Top,90
F8,183.070500mm,-86.550500mm,Top,90
F9,188.099700mm,-86.550500mm,Top,90
F10,193.128900mm,-86.550500mm,Top,90
G1,129.596500mm,-70.813500mm,Top,0
G2,195.200000mm,-150.000000mm,Top,90
G2,159.800000mm,-115.100000mm,Top,90
J1,170.700700mm,-141.719300mm,Top,90
J2,145.500100mm,-78.977099mm,Top,180
J3,143.009300mm,-138.603500mm,Top,0
J4,143.009300mm,-145.580100mm,Top,0
J5,155.080500mm,-119.965500mm,Top,180
J6,184.442100mm,-149.161500mm,Top,90
J7,150.558500mm,-144.538700mm,Top,0
J8,174.000000mm,-121.600000mm,Top,270
J9,161.273000mm,-148.000900mm,Top,0
J10,153.733500mm,-140.708300mm,Top,180
J11,169.146500mm,-78.953500mm,Top,180
J12,193.106500mm,-78.913499mm,Top,180
J13,178.955700mm,-125.082300mm,Top,90
K1,155.550000mm,-101.399999mm,Top,90
K2,160.950000mm,-101.399999mm,Top,90
K3,166.350000mm,-101.399999mm,Top,90
K4,171.750000mm,-101.399999mm,Top,90
PS1,139.136100mm,-119.443500mm,Top,0
Q1,163.796500mm,-130.236000mm,Top,270
Q2,160.336500mm,-130.246000mm,Top,270
R1,172.781600mm,-139.128500mm,Top,0
R2,172.781600mm,-137.604500mm,Top,0
R3,190.168500mm,-125.412500mm,Top,0
R4,191.407500mm,-149.242500mm,Top,90
R5,158.100000mm,-119.000000mm,Top,270
R6,171.376500mm,-149.243500mm,Top,0
R7,165.978000mm,-138.458900mm,Top,180
R8,165.978000mm,-136.934900mm,Top,0
R9,169.009000mm,-146.513500mm,Top,0
R10,155.086500mm,-147.926000mm,Top,270
R11,165.978000mm,-135.410900mm,Top,0
R12,180.578000mm,-148.272500mm,Top,180
R13,180.578000mm,-150.304500mm,Top,180
R14,161.229000mm,-133.575500mm,Top,180
R15,156.406500mm,-139.465500mm,Top,270
R16,179.733374mm,-115.274520mm,Top,0
R17,184.102174mm,-115.274520mm,Top,180
R18,190.905574mm,-115.274520mm,Top,0
R19,195.274374mm,-115.274520mm,Top,180
R20,161.984000mm,-125.983500mm,Top,180
R21,161.984000mm,-127.513500mm,Top,0
R22,178.117500mm,-103.087900mm,Top,270
R23,183.070500mm,-103.087900mm,Top,270
R24,188.099700mm,-103.087900mm,Top,270
R25,193.128900mm,-103.087900mm,Top,270
R26,178.117500mm,-95.036100mm,Top,270
R27,183.070500mm,-95.036100mm,Top,270
R28,188.099700mm,-95.036100mm,Top,270
R29,193.128900mm,-95.036100mm,Top,270
RV1,128.386500mm,-94.623500mm,Top,0
SW1,168.416500mm,-128.200000mm,Top,90
SW2,155.700000mm,-128.200000mm,Top,270
U1,128.960000mm,-139.600000mm,Top,0
U2,185.610500mm,-137.486500mm,Top,270
U3,160.983000mm,-137.940900mm,Top,90
U4,167.900000mm,-116.037500mm,Top,90
U5,185.751274mm,-110.118320mm,Top,270
U6,196.927274mm,-110.118320mm,Top,270
U7,172.900000mm,-134.855500mm,Top,180
