Designator,Mid X,Mid Y,Layer,Rotation
C1,190.156000mm,-126.936500mm,Top,180
C2,145.923000mm,-139.700000mm,Top,0
C3,145.923000mm,-141.224000mm,Top,0
C4,145.923000mm,-142.748000mm,Top,0
C5,193.521500mm,-123.872000mm,Top,0
C6,193.521500mm,-125.412500mm,Top,0
C7,193.511000mm,-126.936500mm,Top,0
C8,139.446000mm,-139.954000mm,Top,0
C9,135.509000mm,-139.700000mm,Top,180
C10,135.509000mm,-141.224000mm,Top,180
C11,135.509000mm,-142.748000mm,Top,180
C12,166.574900mm,-140.947300mm,Top,270
C13,164.974900mm,-140.940800mm,Top,270
C14,174.778500mm,-115.189000mm,Top,180
C15,179.068900mm,-121.615200mm,Top,0
C16,184.811500mm,-121.716800mm,Top,0
C17,190.194100mm,-121.615200mm,Top,0
C18,195.985300mm,-121.615200mm,Top,180
C19,170.296500mm,-135.048600mm,Top,270
D1,194.310000mm,-149.242500mm,Top,270
D2,155.956000mm,-118.228000mm,Top,270
D3,157.283000mm,-141.900900mm,Top,180
D4,162.593000mm,-141.900900mm,Top,0
D5,159.883000mm,-141.900900mm,Top,180
D6,154.876500mm,-144.564100mm,Top,270
F1,143.546500mm,-85.283500mm,Top,270
F2,169.200000mm,-86.600000mm,Top,90
F3,164.100000mm,-86.600000mm,Top,90
F4,159.000000mm,-86.600000mm,Top,90
F5,154.100000mm,-86.640000mm,Top,90
F6,178.092100mm,-86.550500mm,Top,90
F7,183.070500mm,-86.550500mm,Top,90
F8,188.099700mm,-86.550500mm,Top,90
F9,193.128900mm,-86.550500mm,Top,90
G1,129.596500mm,-70.813500mm,Top,0
G2,159.004000mm,-118.110000mm,Top,90
G2,196.088000mm,-149.225000mm,Top,90
J1,143.129000mm,-146.414000mm,Top,0
J2,170.700700mm,-141.719300mm,Top,90
J3,145.500100mm,-78.977099mm,Top,180
J4,150.558500mm,-140.665200mm,Top,180
J5,184.442100mm,-149.161500mm,Top,90
J6,134.132000mm,-146.414000mm,Top,0
J7,173.177200mm,-130.657600mm,Top,180
J8,150.558500mm,-144.538700mm,Top,0
J9,164.084000mm,-122.174000mm,Top,270
J10,161.273000mm,-148.000900mm,Top,0
J11,169.146500mm,-78.953500mm,Top,180
J12,193.106500mm,-78.913499mm,Top,180
J13,179.080000mm,-124.536600mm,Top,90
K1,156.273000mm,-113.665000mm,Top,90
K2,161.099000mm,-113.665000mm,Top,90
K3,165.925000mm,-113.665000mm,Top,90
K4,170.878000mm,-113.665000mm,Top,90
PS1,139.136100mm,-115.000000mm,Top,0
Q1,163.796500mm,-130.236000mm,Top,270
Q2,160.336500mm,-130.246000mm,Top,270
R1,172.781600mm,-139.128500mm,Top,0
R2,172.781600mm,-137.604500mm,Top,0
R3,190.168500mm,-125.412500mm,Top,0
R4,192.278000mm,-149.242500mm,Top,90
R5,153.873200mm,-118.221000mm,Top,270
R6,171.376500mm,-149.243500mm,Top,0
R7,165.978000mm,-138.458900mm,Top,180
R8,165.978000mm,-136.934900mm,Top,0
R9,169.009000mm,-146.513500mm,Top,0
R10,155.086500mm,-147.926000mm,Top,270
R11,165.978000mm,-135.410900mm,Top,0
R12,180.578000mm,-148.272500mm,Top,180
R13,180.578000mm,-150.304500mm,Top,180
R14,161.229000mm,-133.575500mm,Top,180
R15,156.406500mm,-139.465500mm,Top,270
R16,161.984000mm,-125.983500mm,Top,180
R17,161.984000mm,-127.513500mm,Top,0
R18,179.070000mm,-120.091200mm,Top,0
R19,184.810400mm,-120.142000mm,Top,0
R20,190.197100mm,-120.091200mm,Top,0
R21,195.988300mm,-120.091200mm,Top,0
R22,178.117500mm,-103.087900mm,Top,270
R23,183.070500mm,-103.087900mm,Top,270
R24,188.099700mm,-103.087900mm,Top,270
R25,193.128900mm,-103.087900mm,Top,270
R26,178.117500mm,-95.036100mm,Top,270
R27,183.070500mm,-95.036100mm,Top,270
R28,188.099700mm,-95.036100mm,Top,270
R29,193.128900mm,-95.036100mm,Top,270
RV1,136.000800mm,-95.206450mm,Top,0
SW1,168.402000mm,-128.397000mm,Top,90
SW2,155.700000mm,-128.397000mm,Top,270
U1,139.954000mm,-134.874000mm,Top,0
U2,185.610500mm,-137.486500mm,Top,270
U3,160.983000mm,-137.940900mm,Top,90
U4,171.196000mm,-120.204000mm,Top,90
U5,185.751274mm,-110.118320mm,Top,270
U6,196.927274mm,-110.118320mm,Top,270
U7,172.900000mm,-134.855500mm,Top,180
