Designator,Mid X,Mid Y,Layer,Rotation
C1,95.859000mm,-90.741500mm,Top,180
C2,51.562000mm,-102.489000mm,Top,0
C3,51.816000mm,-104.267000mm,Top,0
C4,51.816000mm,-106.299000mm,Top,0
C5,99.224500mm,-87.677000mm,Top,0
C6,99.224500mm,-89.217500mm,Top,0
C7,99.214000mm,-90.741500mm,Top,0
C8,45.149000mm,-103.759000mm,Top,0
C9,41.275000mm,-102.489000mm,Top,180
C10,41.021000mm,-104.267000mm,Top,180
C11,41.021000mm,-106.299000mm,Top,180
C12,72.277900mm,-104.752300mm,Top,270
C13,70.677900mm,-104.745800mm,Top,270
C14,80.481500mm,-78.994000mm,Top,180
C15,84.771900mm,-85.420200mm,Top,0
C16,90.514500mm,-85.521800mm,Top,0
C17,95.897100mm,-85.420200mm,Top,0
C18,101.688300mm,-85.420200mm,Top,180
C19,75.999500mm,-98.853600mm,Top,270
D1,100.013000mm,-113.047500mm,Top,270
D2,61.659000mm,-82.033000mm,Top,270
D3,62.986000mm,-105.705900mm,Top,180
D4,68.296000mm,-105.705900mm,Top,0
D5,65.586000mm,-105.705900mm,Top,180
D6,60.579500mm,-108.369100mm,Top,270
F1,49.249500mm,-49.088500mm,Top,270
F2,74.903000mm,-50.405000mm,Top,90
F3,69.803000mm,-50.405000mm,Top,90
F4,64.703000mm,-50.405000mm,Top,90
F5,59.803000mm,-50.445000mm,Top,90
F6,83.795100mm,-50.355500mm,Top,90
F7,88.773500mm,-50.355500mm,Top,90
F8,93.802700mm,-50.355500mm,Top,90
F9,98.831900mm,-50.355500mm,Top,90
G1,35.299500mm,-34.618500mm,Top,0
G2,64.707000mm,-81.915000mm,Top,90
G2,101.791000mm,-113.030000mm,Top,90
J1,48.832000mm,-110.219000mm,Top,0
J2,76.403700mm,-105.524300mm,Top,90
J3,51.203100mm,-42.782099mm,Top,180
J4,56.261500mm,-104.470200mm,Top,180
J5,90.145100mm,-112.966500mm,Top,90
J6,39.835000mm,-110.219000mm,Top,0
J7,78.880200mm,-94.462600mm,Top,180
J8,56.261500mm,-108.343700mm,Top,0
J9,69.787000mm,-85.979000mm,Top,270
J10,66.976000mm,-111.805900mm,Top,0
J11,74.849500mm,-42.758500mm,Top,180
J12,98.809500mm,-42.718499mm,Top,180
J13,84.783000mm,-88.341600mm,Top,90
K1,61.976000mm,-77.470000mm,Top,90
K2,66.802000mm,-77.470000mm,Top,90
K3,71.628000mm,-77.470000mm,Top,90
K4,76.581000mm,-77.470000mm,Top,90
PS1,44.839100mm,-78.805000mm,Top,0
Q1,69.499500mm,-94.041000mm,Top,270
Q2,66.039500mm,-94.051000mm,Top,270
R1,78.484600mm,-102.933500mm,Top,0
R2,78.484600mm,-101.409500mm,Top,0
R3,95.871500mm,-89.217500mm,Top,0
R4,97.981000mm,-113.047500mm,Top,90
R5,59.576200mm,-82.026000mm,Top,270
R6,77.079500mm,-113.048500mm,Top,0
R7,71.681000mm,-102.263900mm,Top,180
R8,71.681000mm,-100.739900mm,Top,0
R9,74.712000mm,-110.318500mm,Top,0
R10,60.789500mm,-111.731000mm,Top,270
R11,71.681000mm,-99.215900mm,Top,0
R12,86.281000mm,-112.077500mm,Top,180
R13,86.281000mm,-114.109500mm,Top,180
R14,66.932000mm,-97.380500mm,Top,180
R15,62.109500mm,-103.270500mm,Top,270
R16,67.687000mm,-89.788500mm,Top,180
R17,67.687000mm,-91.318500mm,Top,0
R18,84.773000mm,-83.896200mm,Top,0
R19,90.513400mm,-83.947000mm,Top,0
R20,95.900100mm,-83.896200mm,Top,0
R21,101.691300mm,-83.896200mm,Top,0
R22,83.820500mm,-66.892900mm,Top,270
R23,88.773500mm,-66.892900mm,Top,270
R24,93.802700mm,-66.892900mm,Top,270
R25,98.831900mm,-66.892900mm,Top,270
R26,83.820500mm,-58.841100mm,Top,270
R27,88.773500mm,-58.841100mm,Top,270
R28,93.802700mm,-58.841100mm,Top,270
R29,98.831900mm,-58.841100mm,Top,270
RV1,41.703800mm,-59.011450mm,Top,0
SW1,74.105000mm,-92.202000mm,Top,90
SW2,61.403000mm,-92.202000mm,Top,270
U1,45.657000mm,-98.679000mm,Top,0
U2,91.313500mm,-101.291500mm,Top,270
U3,66.686000mm,-101.745900mm,Top,90
U4,76.899000mm,-84.009000mm,Top,90
U5,91.454274mm,-73.923320mm,Top,270
U6,102.630274mm,-73.923320mm,Top,270
U7,78.603000mm,-98.660500mm,Top,180
