Designator,Mid X,Mid Y,Layer,Rotation
C1,95.859000mm,-90.741500mm,Top,180
C2,99.224500mm,-87.677000mm,Top,0
C3,99.224500mm,-89.217500mm,Top,0
C4,51.562000mm,-102.489000mm,Top,0
C5,99.214000mm,-90.741500mm,Top,0
C6,51.816000mm,-104.267000mm,Top,0
C7,51.816000mm,-106.299000mm,Top,0
C8,45.149000mm,-103.759000mm,Top,0
C9,41.275000mm,-102.489000mm,Top,180
C10,41.021000mm,-104.267000mm,Top,180
C11,41.021000mm,-106.299000mm,Top,180
C12,68.520000mm,-100.820000mm,Top,0
C13,65.430000mm,-100.820000mm,Top,180
C14,80.264000mm,-78.994000mm,Top,180
C15,84.771900mm,-85.420200mm,Top,0
C16,90.514500mm,-85.521800mm,Top,0
C17,95.897100mm,-85.420200mm,Top,0
C18,101.688300mm,-85.420200mm,Top,180
C19,76.156500mm,-102.486700mm,Top,270
D1,61.659000mm,-82.033000mm,Top,270
D2,99.210000mm,-113.090000mm,Top,270
D3,61.050000mm,-104.500000mm,Top,0
F1,49.249500mm,-49.088500mm,Top,270
F2,59.817000mm,-50.419000mm,Top,90
F3,64.770000mm,-50.419000mm,Top,90
F4,69.690000mm,-50.419000mm,Top,90
F5,74.690000mm,-50.419000mm,Top,90
F6,83.795100mm,-50.355500mm,Top,90
F7,88.773500mm,-50.355500mm,Top,90
F8,93.802700mm,-50.355500mm,Top,90
F9,98.831900mm,-50.355500mm,Top,90
J1,48.832000mm,-110.219000mm,Top,0
J2,51.203100mm,-42.782099mm,Top,180
J3,76.325000mm,-109.200000mm,Top,90
J5,79.000000mm,-95.200000mm,Top,180
J6,39.835000mm,-110.219000mm,Top,0
J7,56.261500mm,-108.343700mm,Top,0
J8,69.787000mm,-85.979000mm,Top,270
J9,74.849500mm,-42.758500mm,Top,180
J10,91.720000mm,-113.080000mm,Top,90
J11,66.976000mm,-111.805900mm,Top,0
J12,98.809500mm,-42.718499mm,Top,180
J13,84.783000mm,-88.341600mm,Top,90
K1,61.976000mm,-77.470000mm,Top,90
K2,66.802000mm,-77.470000mm,Top,90
K3,71.628000mm,-77.470000mm,Top,90
K4,76.581000mm,-77.470000mm,Top,90
PS1,44.839100mm,-78.805000mm,Top,0
R1,95.871500mm,-89.217500mm,Top,0
R2,59.576200mm,-82.026000mm,Top,270
R3,78.000000mm,-99.385000mm,Top,180
R4,78.000000mm,-97.910000mm,Top,180
R5,97.220000mm,-113.090000mm,Top,90
R6,78.641600mm,-106.566600mm,Top,0
R7,78.641600mm,-105.042600mm,Top,0
R8,80.300000mm,-113.200000mm,Top,0
R9,69.690000mm,-104.000000mm,Top,90
R10,64.210000mm,-104.000000mm,Top,90
R11,84.773000mm,-83.896200mm,Top,0
R12,90.513400mm,-83.947000mm,Top,0
R13,95.900100mm,-83.896200mm,Top,0
R14,101.691300mm,-83.896200mm,Top,0
R15,83.820500mm,-66.892900mm,Top,270
R16,88.773500mm,-66.892900mm,Top,270
R17,93.802700mm,-66.892900mm,Top,270
R18,98.831900mm,-66.892900mm,Top,270
R19,83.820500mm,-58.841100mm,Top,270
R20,88.773500mm,-58.841100mm,Top,270
R21,93.802700mm,-58.841100mm,Top,270
R22,98.831900mm,-58.841100mm,Top,270
RV1,41.703800mm,-59.011450mm,Top,0
SW1,74.105000mm,-92.202000mm,Top,90
SW2,68.300000mm,-92.202000mm,Top,90
SW3,56.261500mm,-104.470200mm,Top,180
U1,45.657000mm,-98.679000mm,Top,0
U2,91.350000mm,-101.300000mm,Top,270
U3,76.899000mm,-84.009000mm,Top,90
U4,66.980000mm,-103.660000mm,Top,90
U5,91.454274mm,-73.923320mm,Top,270
U6,102.630274mm,-73.923320mm,Top,270
U7,78.760000mm,-102.293600mm,Top,180
