"Reference","LCSC"
"C1,C5,C19,C25,C28","C14663"
"C2,C31",""
"C3,C15,C16,C17,C18,C21,C22,C23,C24","C59461"
"C4,C9,C14,C27,C29,C30","C49678"
"C6,C7,C10,C11,C20","C28323"
"C8,C26,C32",""
"C12,C13","C1648"
"D1","C2297"
"D2","C2297"
"D3","C124187"
"D4,D5,D6,D7,D8,D9,D10,D11","C72038"
"D12","C2297"
"D13",""
"F1",""
"F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17",""
"H1,H2,H3,H4",""
"J1",""
"J2",""
"J3",""
"J4",""
"J5",""
"J6",""
"J7",""
"J8",""
"J9,J12,J14,J15",""
"J10",""
"J11","C167321"
"J13",""
"J16",""
"K1,K2,K3,K4,K5,K6,K7,K8",""
"PS1",""
"R1,R6,R7,R11,R12,R13,R14,R35,R36,R37,R38,R45","C25804"
"R2,R5,R44","C17408"
"R3,R4,R43","C23345"
"R8","C17470"
"R9,R10","C23186"
"R15,R16,R17,R18,R19,R20,R21,R22,R27,R28,R29,R30,R31,R32,R33,R34","C25719"
"R23,R24,R25,R26,R39,R40,R41,R42","C22775"
"RV1",""
"SW1","C318884"
"SW2","C318884"
"SW3",""
"TP1",""
"U1",""
"U2","C2913202"
"U3,U5,U6,U8",""
"U4","C2827654"
"U7","C2909890"
"U9","C47023"
"U10","C845537"
"U12","C100024"
