Comment,Designator,Footprint,LCSC Part #
100nF Polarized capacitor  small symbol,"C1,C5,C19,C25,C28",Capacitor_SMD,C14663
NC Polarized capacitor  small symbol,"C2,C31",Capacitor_SMD,
22uF Unpolarized capacitor  small symbol,"C3,C15,C16,C17,C18,C21,C22,C23,C24",Capacitor_SMD,C59461
100nF Polarized capacitor  small symbol,"C4,C9,C14,C27,C29,C30",Capacitor_SMD,C49678
NC Polarized capacitor  small symbol,"C6,C7,C10,C11,C20",Capacitor_SMD,C28323
10uF Polarized capacitor  small symbol,"C8,C26,C32",Capacitor_THT,
20p Unpolarized capacitor  small symbol,"C12,C13",Capacitor_SMD,C1648
5V Light emitting diode,D1,LED_SMD,C2297
LED Light emitting diode,D2,LED_SMD,C2297
BAT60A 10V 3A High Current Recitifier Schottky Diode  SOD-323,D3,Diode_SMD,C124187
LED Light emitting diode,"D4,D5,D6,D7,D8,D9,D10,D11",LED_SMD,C72038
3.3V Light emitting diode,D12,LED_SMD,C2297
Inolux_IN-PI554FCH 5050 RGB LED 4-Pin with integrated IC,D13,LED_SMD,
250V500mA Fuse,F1,Fuse,
Fuse Fuse,"F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17",RST-80-AMMO,
MountingHole_Pad Mounting Hole with connection,"H1,H2,H3,H4",MountingHole,
GND|5V Generic connector  single row  01x02  script generated (k,J1,Connector_JST,
2604-1102 ,J2,wago-2604-1102,
Sda|Scl Generic connector  single row  01x02  script generated,J3,Connector_PinHeader_2.54mm,
13|12 Generic connector  single row  01x02  script generated,J4,Connector_PinHeader_2.54mm,
9|3|16 Generic connector  single row  01x03  script generated,J5,Connector_PinHeader_2.54mm,
GND|3.3V Generic connector  single row  01x02  script generated ,J6,Connector_JST,
Conn_01x02_Pin Generic connector  single row  01x02  script gene,J7,Connector_PinHeader_2.54mm,
Screen Generic connector  single row  01x05  script generated (k,J8,Connector_JST,
2604-1104 ,"J9,J12,J14,J15",wago-2604-1104,
Tx|Rx Generic connector  single row  01x02  script generated,J10,Connector_PinHeader_2.54mm,
USB_C_Receptacle_USB2.0 USB 2.0-only Type-C Receptacle connector,J11,usb-c,C167321
15|7|GND|3.3v Generic connector  single row  01x04  script gener,J13,Connector_PinHeader_2.54mm,
5v|GND|Do Generic connector  single row  01x03  script generated,J16,Connector_PinHeader_2.54mm,
AQG12205 Solid State Relays - PCB Mount 1A 5V Random Non-Zero Cr,"K1,K2,K3,K4,K5,K6,K7,K8",AQG12205,
RAC05-05SK/277 ,PS1,rac05-05sk,
10k Resistor,"R1,R6,R7,R11,R12,R13,R14,R35,R36,R37,R38,R45",Resistor_SMD,C25804
100 Resistor,"R2,R5,R44",Resistor_SMD,C17408
22 Resistor  small symbol,"R3,R4,R43",Resistor_SMD,C23345
150k Resistor,R8,Resistor_SMD,C17470
5.1k Resistor,"R9,R10",Resistor_SMD,C23186
150k1w Resistor,"R15,R16,R17,R18,R19,R20,R21,R22,R27,R28,R29,R30,R31,R32,R33,R34",Resistor_SMD,C25719
100 Resistor,"R23,R24,R25,R26,R39,R40,R41,R42",Resistor_SMD,C22775
400V Voltage dependent resistor,RV1,Varistor,
Reset Push button switch  generic  two pins,SW1,hamodule_SW_SPST_SKQG_WithStem,C318884
Boot Push button switch  generic  two pins,SW2,hamodule_SW_SPST_SKQG_WithStem,C318884
USB | PS Switch  single pole double throw,SW3,Connector_PinHeader_2.54mm,
GND test point (alternative probe-style design),TP1,TestPoint,
LD1117AV33 800mA Fixed Low Drop Positive Voltage Regulator  Fixe,U1,Package_TO_SOT_THT,
ESP32-S3-WROOM-2 2.4 GHz WiFi (802.11 b/g/n) and Bluetooth  5 (,U2,Espressif,C2913202
LDA210-PDIP DC Darlington Optocoupler  Vce 35V  CTR 600%  SO-4,"U3,U5,U6,U8",Package_DIP,
USBLC6-2SC6 Very low capacitance ESD protection diode  2 data-li,U4,Package_TO_SOT_SMD,C2827654
SHT4x Temperature and humidity module,U7,sht40,C2909890
MCP23017_SO 16-bit I/O expander  I2C  interrupts  w pull-ups  SO,U9,Package_SO,C47023
ULN2803A Darlington Transistor Arrays  SOIC18/DIP18,U10,Package_SO,C845537
SN74LV1T34DBV Single Power Supply  Single Buffer GATE  CMOS Logi,U12,Package_TO_SOT_SMD,C100024
