Designator,Mid X,Mid Y,Layer,Rotation
C1,107.488402mm,24.157201mm,Top,180
C3,110.862502mm,25.681201mm,Top,0
C4,19.409500mm,14.173200mm,Top,0
C5,110.843402mm,24.157201mm,Top,0
C6,19.401700mm,12.141200mm,Top,0
C7,19.401700mm,10.109200mm,Top,0
C8,12.734700mm,12.649200mm,Top,0
C9,8.606700mm,14.198600mm,Top,180
C10,8.606700mm,12.141200mm,Top,180
C11,8.606700mm,10.109200mm,Top,180
C12,80.149402mm,14.078701mm,Top,0
C13,77.059402mm,14.078701mm,Top,180
C14,41.173400mm,27.965400mm,Top,270
C15,74.522926mm,29.731920mm,Top,0
C16,80.265100mm,29.731920mm,Top,0
C17,85.648126mm,29.731920mm,Top,0
C18,91.439326mm,29.731920mm,Top,180
C19,87.779402mm,12.298701mm,Top,270
C20,110.659802mm,27.448701mm,Top,0
C21,114.250202mm,29.707101mm,Top,180
C22,109.018602mm,29.707101mm,Top,0
C23,102.618902mm,29.707101mm,Top,0
C24,97.386502mm,29.707101mm,Top,0
C25,41.427400mm,1.752600mm,Top,270
C26,30.124400mm,17.820000mm,Top,90
C27,45.745400mm,30.128300mm,Top,270
C28,51.839200mm,3.403200mm,Top,90
C29,50.038000mm,25.196800mm,Top,180
C30,53.898800mm,25.196800mm,Top,0
C32,68.624000mm,29.468400mm,Top,180
D1,30.353000mm,7.610200mm,Top,90
D2,110.058200mm,1.854200mm,Top,270
D3,74.079600mm,11.210000mm,Top,270
D4,49.211200mm,7.264400mm,Top,90
D5,47.585600mm,7.264400mm,Top,90
D6,45.960000mm,7.264400mm,Top,90
D7,44.334400mm,7.264400mm,Top,90
D8,37.832000mm,7.264300mm,Top,90
D9,39.457600mm,7.264400mm,Top,90
D10,41.083200mm,7.264400mm,Top,90
D11,42.708800mm,7.264400mm,Top,90
D12,32.435800mm,7.610200mm,Top,90
D13,56.115600mm,2.819200mm,Top,180
F1,18.161000mm,66.243200mm,Top,270
F2,29.659300mm,64.475500mm,Top,90
F3,34.612300mm,64.475500mm,Top,90
F4,39.532300mm,64.475500mm,Top,90
F5,44.532300mm,64.475500mm,Top,90
F6,76.249600mm,64.492500mm,Top,90
F7,81.228000mm,64.492500mm,Top,90
F8,86.257200mm,64.492500mm,Top,90
F9,91.286400mm,64.492500mm,Top,90
F10,114.604800mm,64.490600mm,Top,90
F11,109.626400mm,64.490600mm,Top,90
F12,104.621800mm,64.490600mm,Top,90
F13,99.621800mm,64.520000mm,Top,90
F14,53.073800mm,64.389000mm,Top,90
F15,58.026800mm,64.389000mm,Top,90
F16,63.106800mm,64.389000mm,Top,90
F17,68.059800mm,64.389000mm,Top,90
G1,3.048000mm,59.309000mm,Top,90
G4,36.322000mm,7.162800mm,Top,270
J1,16.963300mm,3.568700mm,Top,90
J2,20.144000mm,72.112401mm,Top,180
J3,87.929800mm,6.578600mm,Top,90
J4,84.039402mm,13.923701mm,Top,0
J5,85.408000mm,20.066000mm,Top,90
J6,9.038500mm,3.568700mm,Top,90
J7,23.876500mm,6.731000mm,Top,0
J8,49.762400mm,30.243000mm,Top,0
J9,44.691800mm,72.136000mm,Top,180
J10,101.429402mm,1.808701mm,Top,90
J11,78.605402mm,3.092801mm,Top,0
J12,91.264000mm,72.140201mm,Top,180
J13,96.367600mm,25.654000mm,Top,90
J14,114.621702mm,72.140201mm,Top,180
J15,68.059800mm,72.136000mm,Top,180
J16,49.116800mm,1.966700mm,Top,270
K1,31.818300mm,37.424500mm,Top,90
K2,36.644300mm,37.424500mm,Top,90
K3,41.470300mm,37.424500mm,Top,90
K4,46.423300mm,37.424500mm,Top,90
K5,53.898800mm,37.424500mm,Top,90
K6,58.978800mm,37.424500mm,Top,90
K7,64.058800mm,37.424500mm,Top,90
K8,69.011800mm,37.424500mm,Top,90
PS1,13.780000mm,37.421800mm,Top,0
R1,107.500902mm,25.681201mm,Top,0
R2,28.295600mm,7.610600mm,Top,90
R3,89.629402mm,15.513701mm,Top,180
R4,89.629402mm,16.988701mm,Top,180
R5,108.102400mm,1.854200mm,Top,90
R6,90.271002mm,9.271000mm,Top,0
R7,90.271002mm,10.795000mm,Top,0
R8,85.944200mm,2.184400mm,Top,0
R9,81.309402mm,11.208701mm,Top,90
R10,75.839402mm,11.228701mm,Top,90
R11,74.524026mm,31.255920mm,Top,0
R12,80.264426mm,31.267400mm,Top,0
R13,85.651126mm,31.255920mm,Top,0
R14,91.442326mm,31.255920mm,Top,0
R15,76.275000mm,47.955100mm,Top,270
R16,81.228000mm,47.955100mm,Top,270
R17,86.257200mm,47.955100mm,Top,270
R18,91.286400mm,47.955100mm,Top,270
R19,76.275000mm,56.006900mm,Top,270
R20,81.228000mm,56.006900mm,Top,270
R21,86.257200mm,56.006900mm,Top,270
R22,91.286400mm,56.006900mm,Top,270
