Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,NC,
"C10, C14, C15, C20, C32, C35, C36, C37, C38, C41, C5",0805,11,100nF,C49678
"C11, C13, C17, C42, C9",0603,5,20p,C1648
"C12, C18, C19",CP_Radial_D6.3mm_P2.50mm,3,10uF,
"C16, C21, C7, C8",0805,4,22uF,C45783
"C22, C23, C24, C25, C26, C27, C28, C29, C4, C40",0603,10,22uF,C59461
"C3, C30, C31, C33, C46, C47, C6",0603,7,100nF,C14663
C34,0805,1,22uF,C59461
"C39, C43, C44, C45, C48, C49, C50",0402,7,10uF,C15525
D1,D_SOD-323,1,BAT60A,C124187
"D10, D11, D12, D5, D6, D7, D8, D9",0603,8,LED,C7496819
D13,0805,1,LED,C2297
D14,0805,1,C2297,C2297
D15,0603,1,C7496819,C7496819
D2,0805,1,5V,C2297
D3,0805,1,3.3V,C2297
D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C5446705
F1,Fuseholder_TR5_Littelfuse_No560_No460,1,250V500mA,
"F10, F11, F12, F13, F14, F15, F16, F17, F2, F3, F4, F5, F6, F7, F8, F9",FUSE_RST-1-BULK,16,Fuse,
"H4, H5",MountingHole_3.2mm_M3_ISO14580_Pad,2,MountingHole_Pad,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,GND|5V,C492401
J10,PinHeader_1x02_P2.54mm_Vertical,1,Tx|Rx,C492401
J11,PinHeader_1x02_P2.54mm_Vertical,1,Sda|Scl,C492401
J12,PinHeader_1x02_P2.54mm_Vertical,1,3|9,C492401
J13,PinHeader_1x02_P2.54mm_Vertical,1,13|12,C492401
J14,PinHeader_1x04_P2.54mm_Vertical,1,3.3v|GND|7|15,
"J15, J16, J6, J7",WAGO_2604-1104,4,2604-1104,
"J17, J19",PinHeader_1x02_P2.54mm_Vertical,2,TestPoint,
J2,WAGO-2604-1102,1,2604-1102,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2927038
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,GND|3.3V,C492401
J5,PinHeader_1x02_P2.54mm_Vertical,1,Jumper 3.3v,C492401
J8,PinHeader_1x03_P2.54mm_Vertical,1,5v|GND|Do,C49257
J9,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Screen,
"K1, K2, K3, K4, K5, K6, K7, K8",AQG12205,8,AQG22205,
PS1,RAC05-05SK_277,1,RAC05-05SK/277,
"R1, R17, R18, R27, R28, R29, R30, R31, R32, R33, R34, R35, R37, R38, R39, R40, R41, R42, R43, R44, R56, R57, R58, R60, R61",0603,25,10kΩ,C25804
"R10, R11, R12, R13, R14, R15, R16, R19, R20, R21, R22, R23, R24, R25, R26, R9",2512,16,150kΩ1w,C25719
R2,0805,1,150kΩ,C17470
"R3, R4",0603,2,5.1kΩ,C23186
"R36, R62",0603,2,1kΩ,C21190
"R45, R46, R47, R48, R49, R50, R51, R52, R54",0603,9,660Ω,C23193
"R5, R6",0603,2,22Ω,C23345
"R53, R55, R7, R8",0805,4,100Ω,C17408
RV1,RV_Disc_D12mm_W4.2mm_P7.5mm,1,400V,
SW1,PinHeader_1x03_P2.54mm_Vertical,1,USB | PS,C49257
SW2,SW_SPST_SKQG_WithStem,1,Reset,C318884
SW3,SW_SPST_SKQG_WithStem,1,Boot,C318884
TP1,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,GND,
TP2,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,I8,
"TP3, TP4",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,2,4 layer test,
U1,TO-220-3_Vertical,1,LD1117AV33,C32833
U10,SOT-23-5,1,SN74LV1T34DBV,C100024
U11,SOIC-18W_7.5x11.6mm_P1.27mm,1,ULN2803A,C845537
U12,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCAL6416,C20345827
U14,SOT-23-5_HandSoldering,1,74AHC1G04,C460485
U2,SOT-23-6,1,USBLC6-2SC6,C2827654
U3,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-2,C2913202
"U4, U5, U6, U7",DIP-8_W7.62mm_Socket_LongPads,4,LDA210,
U8,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,C2909890
U9,TSSOP-24_4.4x7.8mm_P0.65mm,1,SN74LVCH8T245,C201741
