Designator,Mid X,Mid Y,Rotation,Layer
C1,104.0754,-90.5129,180.0,top
C10,50.955425,-100.977283,180.0,top
C11,50.955425,-103.009283,180.0,top
C12,76.7364,-100.5914,0.0,top
C13,73.6464,-100.5914,180.0,top
C14,86.93,-75.5025,270.0,top
C15,92.9883,-85.1916,0.0,top
C16,98.7309,-85.2932,0.0,top
C17,104.1135,-85.1916,0.0,top
C18,109.9047,-85.1916,180.0,top
C19,84.3664,-102.3714,270.0,top
C2,106.6039,-90.0614,180.0,bottom
C20,107.1989,-87.2214,0.0,top
C21,50.52,-109.9,90.0,top
C3,107.4409,-88.9889,0.0,top
C4,56.354202,-103.00605,180.0,top
C5,107.4304,-90.5129,0.0,top
C6,59.977674,-103.261695,0.0,top
C7,59.98832,-105.25573,0.0,top
C8,43.33,-109.9,90.0,top
C9,51.150369,-99.136141,180.0,top
D1,42.21,-102.915,90.0,top
D2,106.6064,-112.9314,270.0,top
D3,69.2664,-104.2714,0.0,top
D4,73.48,-96.4501,90.0,top
D5,75.1056,-96.4501,90.0,top
D6,76.8074,-96.4501,90.0,top
D7,78.4584,-96.4501,90.0,top
D8,40.18,-102.915,90.0,top
F1,57.4609,-51.3999,270.0,top
F2,68.0334,-50.1904,90.0,top
F3,72.9864,-50.1904,90.0,top
F4,77.9064,-50.1904,90.0,top
F5,82.9064,-50.1904,90.0,top
F6,92.0115,-50.1269,90.0,top
F7,96.9899,-50.1269,90.0,top
F8,102.0191,-50.1269,90.0,top
F9,107.0483,-50.1269,90.0,top
H1,46.1899,-48.9839,0.0,top
H2,112.4839,-48.9839,0.0,top
H3,46.1899,-98.9839,0.0,top
J10,99.2864,-112.8614,90.0,top
J11,75.1924,-111.4724,0.0,top
J12,99.5259,-38.389899,180.0,top
J13,96.8094,-88.113,90.0,top
J14,62.38,-109.785,0.0,top
J15,57.4,-109.77,180.0,top
J2,56.9195,-38.453499,180.0,top
J3,85.8114,-108.9714,90.0,top
J4,80.6264,-102.0164,0.0,top
J5,84.48,-94.91,90.0,top
J7,66.63,-109.78,180.0,top
J8,74.73,-85.34,0.0,top
J9,75.5659,-38.4299,180.0,top
K1,70.1924,-67.0814,90.0,top
K2,75.0184,-67.0814,90.0,top
K3,79.8444,-67.0814,90.0,top
K4,84.7974,-67.0814,90.0,top
NT1,92.2909,-63.7794,270.0,bottom
PS1,53.0555,-78.5764,0.0,top
R1,104.0879,-88.9889,0.0,top
R10,72.4264,-103.4414,90.0,top
R11,92.9894,-83.6676,0.0,top
R12,98.7298,-83.7184,0.0,top
R13,104.1165,-83.6676,0.0,top
R14,109.9077,-83.6676,0.0,top
R15,92.0369,-66.6643,270.0,top
R16,96.9899,-66.6643,270.0,top
R17,102.0191,-66.6643,270.0,top
R18,107.0483,-66.6643,270.0,top
R19,92.0369,-58.6125,270.0,top
R2,42.11,-99.18,90.0,top
R20,96.9899,-58.6125,270.0,top
R21,102.0191,-58.6125,270.0,top
R22,107.0483,-58.6125,270.0,top
R23,73.48,-93.07,90.0,top
R24,75.1056,-93.0719,90.0,top
R25,76.8074,-93.0944,90.0,top
R26,40.18,-99.17,90.0,top
R27,78.4584,-93.0701,90.0,top
R3,86.2164,-99.1564,180.0,top
R4,86.2164,-97.6814,180.0,top
R5,104.6064,-112.9314,90.0,top
R6,86.858,-106.338,0.0,top
R7,86.858,-104.814,0.0,top
R8,88.5164,-112.9714,0.0,top
R9,77.8964,-103.4614,90.0,top
RV1,53.6702,-59.599515,0.0,top
SW1,69.7,-83.81,270.0,top
SW2,69.69,-92.36,270.0,top
SW3,64.4779,-101.7016,180.0,top
TP1,101.4344,-84.9884,0.0,top
U1,57.415779,-98.418222,180.0,top
U11,84.38,-85.35,0.0,top
U2,99.5664,-101.0714,270.0,top
U4,75.1964,-103.4314,270.0,top
U5,95.860674,-77.50472,270.0,top
U6,107.036674,-77.50472,270.0,top
U7,86.9764,-102.065,180.0,top
