"LCSC Part Number","Manufacture Part Number","Manufacturer","Package","Customer #","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price","Product Link"
"C318965","TC-1109-C-L","XKB Connectivity","DIP","","Top Actuated 50mA @ 12VDC Round Button 260gf SPST DIP Tactile Switches ROHS","yes","20","20","0.0305","0.61","https://assets.lcsc.com/images/lcsc/96x96/20181027_XKB-Connectivity-TC-1109-C-L_C318965_front.jpg"
"C46553","0805B102K500NT","FH(Guangdong Fenghua Advanced Tech)","0805","","X7R 1nF ±10% 50V 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","50","50","0.007","0.35","https://assets.lcsc.com/images/lcsc/96x96/20190221_FH-Guangdong-Fenghua-Advanced-Tech-0805B102K500NT_C46553_front.jpg"
"C72474","RVT1A101M0605","ROQANG","SMD,6.3x5.4mm","","100uF 10V -45℃~+105℃ ±20% 5.4mm 6.3mm 2000hrs 105℃ SMD,6.3x5.4mm Aluminum Electrolytic Capacitors - SMD ROHS","yes","10","10","0.0432","0.43","https://assets.lcsc.com/images/lcsc/96x96/20190302_ROQANG-RVT1A101M0605_C72474_front.jpg"
"C77083","GRM21BR71H105KA12L","Murata Electronics","0805","","X7R ±10% 50V 1uF 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","10","10","0.041","0.41","https://assets.lcsc.com/images/lcsc/96x96/20180914_Murata-Electronics-GRM21BR71H105KA12L_C77083_front.jpg"
"C269748","RMC08055.1K1%N","TyoHM","0805","","±1% 5.1kΩ 0.125W 0805 Chip Resistor - Surface Mount ROHS","yes","50","50","0.0052","0.26","https://assets.lcsc.com/images/lcsc/96x96/20180920_TyoHM-RMC08055-1K1-N_C269748_front.jpg"
"C319894","AR05BTDW1202","Viking Tech","0805","","±0.1% 125mW 12kΩ 0805 Chip Resistor - Surface Mount ROHS","yes","10","10","0.0495","0.5","https://assets.lcsc.com/images/lcsc/96x96/20181210_Viking-Tech-AR05BTDW1202_C319894_front.jpg"
"C101748","CR0805F84703G","LIZ Elec","0805","","470kΩ ±1% ±100ppm/℃ 0.125W 0805 Chip Resistor - Surface Mount ROHS","yes","100","100","0.0036","0.36","https://assets.lcsc.com/images/lcsc/96x96/20180914_LIZ-Elec-CR0805F84703G_C101748_front.jpg"
"C24585","SRD-03VDC-SL-C","Ningbo Songle Relay","Through Hole","","3VDC SPDT General Purpose Non Latching Through Hole Power Relays ROHS","yes","4","1","0.4779","1.91","https://assets.lcsc.com/images/lcsc/96x96/20190524_Ningbo-Songle-Relay-SRD-03VDC-SL-C_C24585_front.jpg"
"C8269","WJ128V-5.0-2P","Ningbo Kangnex Elec","P=5.0mm",""," P=5.0mm Screw terminal ROHS","yes","5","5","0.1232","0.62","https://assets.lcsc.com/images/lcsc/96x96/20200709_Ningbo-Kangnex-Elec-WJ128V-5-0-2P_C8269_front.jpg"
"C693097","AO3400","VBsemi Elec","SOT-23-3","","2V 250uA 0.03Ω 3.2A,10V 5.3A 1.1W 30V N Channel SOT-23-3 MOSFETs ROHS","yes","5","5","0.1269","0.63","https://assets.lcsc.com/images/lcsc/96x96/20200702_VBsemi-Elec-AO3400_C693097_front.jpg"
"C229224","AC0805JR-07510KL","YAGEO","0805","","±5% 125mW -55℃~+155℃ Thick Film Resistors 510kΩ ±100ppm/℃ 150V 0805 Chip Resistor - Surface Mount ROHS","yes","50","50","0.0046","0.23","https://assets.lcsc.com/images/lcsc/96x96/20180930_YAGEO-AC0805JR-07510KL_C229224_front.jpg"
"C180848","ERJ3GEYJ102V","PANASONIC","0603","","±5% ±200ppm/℃ 1kΩ 0.1W 0603 Chip Resistor - Surface Mount ROHS","yes","50","50","0.0072","0.36","https://assets.lcsc.com/images/lcsc/96x96/20180914_PANASONIC-ERJ3GEYJ102V_C180848_front.jpg"
"C245630","CR1206J220KP05Z","Ever Ohms Tech","1206","","±5% ±100ppm/℃ 0.25W 220kΩ 1206 Chip Resistor - Surface Mount ROHS","yes","50","50","0.0046","0.23","https://assets.lcsc.com/images/lcsc/96x96/20180914_Ever-Ohms-Tech-CR1206J220KP05Z_C245630_front_10.jpg"
"C115444","4N35S-TA1","Lite-On","SMD-6","","DC 1 3550Vrms Transistor Output Optocouplers SMD-6 Optocouplers - Phototransistor Output ROHS","yes","4","1","0.1653","0.66","https://assets.lcsc.com/images/lcsc/96x96/20180914_Lite-On-4N35S-TA1_C115444_front_10.jpg"
"C209906","HLK-5M03","HI-LINK","Through Hole",""," Through Hole Power Modules ROHS","yes","1","1","3.0205","3.02","https://assets.lcsc.com/images/lcsc/96x96/20190624_HI-LINK-HLK-5M03_C209906_front.jpg"
"C529582","ESP32-WROOM-32(8MB)","Espressif Systems","Module",""," Module WiFi Modules ROHS","yes","1","1","3.6192","3.62","https://assets.lcsc.com/images/lcsc/96x96/20200526_Espressif-Systems-ESP32-WROOM-32-8MB_C529582_front.jpg"
